game_id,minute,home_team_possession,away_team_possession
1729448,10,45.7,54.3
1729448,20,42.0,58.0
1729448,30,41.5,58.5
1729448,40,35.9,64.1
1729448,45+3,36.8,63.2
1729448,50,35.8,64.2
1729448,60,35.2,64.8
1729448,70,35.3,64.7
1729448,80,36.4,63.6
1729448,90,36.3,63.7
1729448,90+5,36.3,63.7
1729503,10,46.5,53.5
1729503,20,36.4,63.6
1729503,30,41.0,59.0
1729503,40,40.5,59.5
1729503,45+2,38.4,61.6
1729503,50,38.5,61.5
1729503,60,38.2,61.8
1729503,70,37.4,62.6
1729503,80,36.5,63.5
1729503,90,34.4,65.6
1729503,90+5,34.1,65.9
1640838,10,28.0,72.0
1640838,20,42.4,57.6
1640838,30,46.0,54.0
1640838,40,42.6,57.4
1640838,45+2,44.5,55.5
1640838,50,43.6,56.4
1640838,60,44.1,55.9
1640838,70,40.4,59.6
1640838,80,38.6,61.4
1640838,90,36.7,63.3
1640838,90+5,36.2,63.8
1640867,10,72.7,27.3
1640867,20,64.2,35.8
1640867,30,68.0,32.0
1640867,40,72.3,27.7
1640867,45+2,69.3,30.7
1640867,50,67.3,32.7
1640867,60,69.4,30.6
1640867,70,66.6,33.4
1640867,80,66.8,33.2
1640867,90,65.1,34.9
1640867,90+8,62.5,37.5
1640980,10,48.7,51.3
1640980,20,49.8,50.2
1640980,30,57.3,42.7
1640980,40,58.1,41.9
1640980,45+1,58.1,41.9
1640980,50,56.7,43.3
1640980,60,56.8,43.2
1640980,70,56.9,43.1
1640980,80,57.9,42.1
1640980,90,58.3,41.7
1640980,90+5,58.2,41.8
1640769,10,28.6,71.4
1640769,20,27.1,72.9
1640769,30,30.0,70.0
1640769,40,29.3,70.7
1640769,45+2,31.4,68.6
1640769,50,32.7,67.3
1640769,60,34.8,65.2
1640769,70,36.5,63.5
1640769,80,37.0,63.0
1640769,90,39.1,60.9
1640769,90+4,39.7,60.3
1729243,10,50.4,49.6
1729243,20,42.4,57.6
1729243,30,46.8,53.2
1729243,40,45.3,54.7
1729243,45+5,40.7,59.3
1729243,45+6,41.3,58.7
1729243,50,41.3,58.7
1729243,60,45.3,54.7
1729243,70,45.5,54.5
1729243,80,45.0,55.0
